index	word	sent	sent_pos	story	story_pos
0	If	1	0	1	0
1	you	1	1	1	1
2	were	1	2	1	2
3	to	1	3	1	3
4	journey	1	4	1	4
5	to	1	5	1	5
6	the	1	6	1	6
7	North	1	7	1	7
8	of	1	8	1	8
9	England	1	9	1	9
10	,	1	10	1	9
11	you	1	11	1	10
12	would	1	12	1	11
13	come	1	13	1	12
14	to	1	14	1	13
15	a	1	15	1	14
16	valley	1	16	1	15
17	that	1	17	1	16
18	is	1	18	1	17
19	surrounded	1	19	1	18
20	by	1	20	1	19
21	moors	1	21	1	20
22	as	1	22	1	21
23	high	1	23	1	22
24	as	1	24	1	23
25	mountains	1	25	1	24
26	.	1	26	1	24
27	It	2	0	1	25
28	is	2	1	1	26
29	in	2	2	1	27
30	this	2	3	1	28
31	valley	2	4	1	29
32	where	2	5	1	30
33	you	2	6	1	31
34	would	2	7	1	32
35	find	2	8	1	33
36	the	2	9	1	34
37	city	2	10	1	35
38	of	2	11	1	36
39	Bradford	2	12	1	37
40	,	2	13	1	37
41	where	2	14	1	38
42	once	2	15	1	39
43	a	2	16	1	40
44	thousand	2	17	1	41
45	spinning	2	18	1	42
46	jennies	2	19	1	43
47	that	2	20	1	44
48	hummed	2	21	1	45
49	and	2	22	1	46
50	clattered	2	23	1	47
51	spun	2	24	1	48
52	wool	2	25	1	49
53	into	2	26	1	50
54	money	2	27	1	51
55	for	2	28	1	52
56	the	2	29	1	53
57	long-bearded	2	30	1	54
58	mill	2	31	1	55
59	owners	2	32	1	56
60	.	2	33	1	56
61	That	3	0	1	57
62	all	3	1	1	58
63	mill	3	2	1	59
64	owners	3	3	1	60
65	were	3	4	1	61
66	generally	3	5	1	62
67	busy	3	6	1	63
68	as	3	7	1	64
69	beavers	3	8	1	65
70	and	3	9	1	66
71	quite	3	10	1	67
72	pleased	3	11	1	68
73	with	3	12	1	69
74	themselves	3	13	1	70
75	for	3	14	1	71
76	being	3	15	1	72
77	so	3	16	1	73
78	successful	3	17	1	74
79	and	3	18	1	75
80	well	3	19	1	76
81	off	3	20	1	77
82	was	3	21	1	78
83	known	3	22	1	79
84	to	3	23	1	80
85	the	3	24	1	81
86	residents	3	25	1	82
87	of	3	26	1	83
88	Bradford	3	27	1	84
89	,	3	28	1	84
90	and	3	29	1	85
91	if	3	30	1	86
92	you	3	31	1	87
93	were	3	32	1	88
94	to	3	33	1	89
95	go	3	34	1	90
96	into	3	35	1	91
97	the	3	36	1	92
98	city	3	37	1	93
99	to	3	38	1	94
100	visit	3	39	1	95
101	the	3	40	1	96
102	stately	3	41	1	97
103	City	3	42	1	98
104	Hall	3	43	1	99
105	,	3	44	1	99
106	you	3	45	1	100
107	would	3	46	1	101
108	see	3	47	1	102
109	there	3	48	1	103
110	the	3	49	1	104
111	Crest	3	50	1	105
112	of	3	51	1	106
113	the	3	52	1	107
114	City	3	53	1	108
115	of	3	54	1	109
116	Bradford	3	55	1	110
117	,	3	56	1	110
118	which	3	57	1	111
119	those	3	58	1	112
120	same	3	59	1	113
121	mill	3	60	1	114
122	owners	3	61	1	115
123	created	3	62	1	116
124	to	3	63	1	117
125	celebrate	3	64	1	118
126	their	3	65	1	119
127	achievements	3	66	1	120
128	.	3	67	1	120
129	It	4	0	1	121
130	shows	4	1	1	122
131	a	4	2	1	123
132	sinister	4	3	1	124
133	looking	4	4	1	125
134	boar	4	5	1	126
135	's	4	6	1	126
136	head	4	7	1	127
137	sitting	4	8	1	128
138	on	4	9	1	129
139	top	4	10	1	130
140	of	4	11	1	131
141	a	4	12	1	132
142	well	4	13	1	133
143	which	4	14	1	134
144	seems	4	15	1	135
145	puzzling	4	16	1	136
146	at	4	17	1	137
147	first	4	18	1	138
148	,	4	19	1	138
149	but	4	20	1	139
150	the	4	21	1	140
151	reason	4	22	1	141
152	for	4	23	1	142
153	this	4	24	1	143
154	symbol	4	25	1	144
155	is	4	26	1	145
156	a	4	27	1	146
157	matter	4	28	1	147
158	of	4	29	1	148
159	legend	4	30	1	149
160	.	4	31	1	149
161	There	5	0	1	150
162	was	5	1	1	151
163	once	5	2	1	152
164	,	5	3	1	152
165	legend	5	4	1	153
166	has	5	5	1	154
167	it	5	6	1	155
168	,	5	7	1	155
169	a	5	8	1	156
170	fearsome	5	9	1	157
171	boar	5	10	1	158
172	,	5	11	1	158
173	which	5	12	1	159
174	lived	5	13	1	160
175	in	5	14	1	161
176	a	5	15	1	162
177	wood	5	16	1	163
178	located	5	17	1	164
179	just	5	18	1	165
180	outside	5	19	1	166
181	the	5	20	1	167
182	manor	5	21	1	168
183	of	5	22	1	169
184	Bradford	5	23	1	170
185	.	5	24	1	170
186	A	6	0	1	171
187	source	6	1	1	172
188	of	6	2	1	173
189	great	6	3	1	174
190	trouble	6	4	1	175
191	to	6	5	1	176
192	the	6	6	1	177
193	local	6	7	1	178
194	folk	6	8	1	179
195	the	6	9	1	180
196	boar	6	10	1	181
197	was	6	11	1	182
198	,	6	12	1	182
199	bringing	6	13	1	183
200	terror	6	14	1	184
201	to	6	15	1	185
202	the	6	16	1	186
203	peaceful	6	17	1	187
204	flocks	6	18	1	188
205	and	6	19	1	189
206	ravaging	6	20	1	190
207	the	6	21	1	191
208	countryside	6	22	1	192
209	around	6	23	1	193
210	.	6	24	1	193
211	Even	7	0	1	194
212	worse	7	1	1	195
213	,	7	2	1	195
214	however	7	3	1	196
215	,	7	4	1	196
216	the	7	5	1	197
217	boar	7	6	1	198
218	most	7	7	1	199
219	liked	7	8	1	200
220	to	7	9	1	201
221	go	7	10	1	202
222	to	7	11	1	203
223	the	7	12	1	204
224	well	7	13	1	205
225	that	7	14	1	206
226	was	7	15	1	207
227	in	7	16	1	208
228	the	7	17	1	209
229	wood	7	18	1	210
230	and	7	19	1	211
231	drink	7	20	1	212
232	its	7	21	1	213
233	fresh	7	22	1	214
234	water	7	23	1	215
235	,	7	24	1	215
236	so	7	25	1	216
237	that	7	26	1	217
238	the	7	27	1	218
239	people	7	28	1	219
240	of	7	29	1	220
241	Bradford	7	30	1	221
242	had	7	31	1	222
243	second	7	32	1	223
244	thoughts	7	33	1	224
245	about	7	34	1	225
246	visiting	7	35	1	226
247	the	7	36	1	227
248	well	7	37	1	228
249	.	7	38	1	228
250	That	8	0	1	229
251	the	8	1	1	230
252	people	8	2	1	231
253	of	8	3	1	232
254	Bradford	8	4	1	233
255	bore	8	5	1	234
256	the	8	6	1	235
257	brunt	8	7	1	236
258	of	8	8	1	237
259	the	8	9	1	238
260	beast	8	10	1	239
261	's	8	11	1	239
262	ferocity	8	12	1	240
263	was	8	13	1	241
264	unfair	8	14	1	242
265	in	8	15	1	243
266	the	8	16	1	244
267	eyes	8	17	1	245
268	of	8	18	1	246
269	the	8	19	1	247
270	people	8	20	1	248
271	of	8	21	1	249
272	the	8	22	1	250
273	region	8	23	1	251
274	.	8	24	1	251
275	Eventually	9	0	1	252
276	,	9	1	1	252
277	the	9	2	1	253
278	issue	9	3	1	254
279	reached	9	4	1	255
280	the	9	5	1	256
281	ears	9	6	1	257
282	of	9	7	1	258
283	the	9	8	1	259
284	kindly	9	9	1	260
285	Lord	9	10	1	261
286	of	9	11	1	262
287	the	9	12	1	263
288	Manor	9	13	1	264
289	who	9	14	1	265
290	the	9	15	1	266
291	people	9	16	1	267
292	had	9	17	1	268
293	often	9	18	1	269
294	asked	9	19	1	270
295	for	9	20	1	271
296	help	9	21	1	272
297	.	9	22	1	272
298	The	10	0	1	273
299	Lord	10	1	1	274
300	saw	10	2	1	275
301	the	10	3	1	276
302	severity	10	4	1	277
303	of	10	5	1	278
304	the	10	6	1	279
305	problem	10	7	1	280
306	the	10	8	1	281
307	people	10	9	1	282
308	faced	10	10	1	283
309	and	10	11	1	284
310	suggested	10	12	1	285
311	a	10	13	1	286
312	contest	10	14	1	287
313	could	10	15	1	288
314	solve	10	16	1	289
315	the	10	17	1	290
316	problem	10	18	1	291
317	.	10	19	1	291
318	He	11	0	1	292
319	said	11	1	1	293
320	that	11	2	1	294
321	whoever	11	3	1	295
322	could	11	4	1	296
323	kill	11	5	1	297
324	the	11	6	1	298
325	boar	11	7	1	299
326	and	11	8	1	300
327	bring	11	9	1	301
328	as	11	10	1	302
329	proof	11	11	1	303
330	its	11	12	1	304
331	head	11	13	1	305
332	to	11	14	1	306
333	the	11	15	1	307
334	Manor	11	16	1	308
335	House	11	17	1	309
336	would	11	18	1	310
337	be	11	19	1	311
338	rewarded	11	20	1	312
339	with	11	21	1	313
340	land	11	22	1	314
341	and	11	23	1	315
342	fame	11	24	1	316
343	.	11	25	1	316
344	It	12	0	1	317
345	was	12	1	1	318
346	the	12	2	1	319
347	people	12	3	1	320
348	of	12	4	1	321
349	Bradford	12	5	1	322
350	and	12	6	1	323
351	the	12	7	1	324
352	people	12	8	1	325
353	who	12	9	1	326
354	knew	12	10	1	327
355	them	12	11	1	328
356	who	12	12	1	329
357	rejoiced	12	13	1	330
358	at	12	14	1	331
359	this	12	15	1	332
360	proclamation	12	16	1	333
361	but	12	17	1	334
362	one	12	18	1	335
363	question	12	19	1	336
364	remained	12	20	1	337
365	:	12	21	1	337
366	who	12	22	1	338
367	would	12	23	1	339
368	kill	12	24	1	340
369	the	12	25	1	341
370	boar	12	26	1	342
371	?	12	27	1	342
372	By	13	0	1	343
373	the	13	1	1	344
374	handsome	13	2	1	345
375	reward	13	3	1	346
376	many	13	4	1	347
377	felt	13	5	1	348
378	tempted	13	6	1	349
379	,	13	7	1	349
380	but	13	8	1	350
381	the	13	9	1	351
382	thought	13	10	1	352
383	of	13	11	1	353
384	the	13	12	1	354
385	boar	13	13	1	355
386	with	13	14	1	356
387	its	13	15	1	357
388	deadly	13	16	1	358
389	tusks	13	17	1	359
390	and	13	18	1	360
391	face	13	19	1	361
392	like	13	20	1	362
393	thunder	13	21	1	363
394	soon	13	22	1	364
395	put	13	23	1	365
396	an	13	24	1	366
397	end	13	25	1	367
398	to	13	26	1	368
399	their	13	27	1	369
400	ambitions	13	28	1	370
401	.	13	29	1	370
402	However	14	0	1	371
403	,	14	1	1	371
404	there	14	2	1	372
405	was	14	3	1	373
406	one	14	4	1	374
407	huntsman	14	5	1	375
408	,	14	6	1	375
409	who	14	7	1	376
410	was	14	8	1	377
411	still	14	9	1	378
412	wet	14	10	1	379
413	behind	14	11	1	380
414	the	14	12	1	381
415	ears	14	13	1	382
416	,	14	14	1	382
417	who	14	15	1	383
418	decided	14	16	1	384
419	the	14	17	1	385
420	prize	14	18	1	386
421	was	14	19	1	387
422	worth	14	20	1	388
423	a	14	21	1	389
424	shot	14	22	1	390
425	,	14	23	1	390
426	in	14	24	1	391
427	spite	14	25	1	392
428	of	14	26	1	393
429	the	14	27	1	394
430	boar	14	28	1	395
431	's	14	29	1	395
432	reputation	14	30	1	396
433	.	14	31	1	396
434	The	15	0	1	397
435	huntsman	15	1	1	398
436	discovered	15	2	1	399
437	the	15	3	1	400
438	boar	15	4	1	401
439	preferred	15	5	1	402
440	to	15	6	1	403
441	come	15	7	1	404
442	out	15	8	1	405
443	in	15	9	1	406
444	the	15	10	1	407
445	middle	15	11	1	408
446	of	15	12	1	409
447	the	15	13	1	410
448	day	15	14	1	411
449	.	15	15	1	411
450	So	16	0	1	412
451	he	16	1	1	413
452	went	16	2	1	414
453	to	16	3	1	415
454	the	16	4	1	416
455	wood	16	5	1	417
456	by	16	6	1	418
457	the	16	7	1	419
458	well	16	8	1	420
459	with	16	9	1	421
460	his	16	10	1	422
461	good	16	11	1	423
462	bow	16	12	1	424
463	,	16	13	1	424
464	to	16	14	1	425
465	bide	16	15	1	426
466	his	16	16	1	427
467	time	16	17	1	428
468	.	16	18	1	428
469	Around	17	0	1	429
470	noontime	17	1	1	430
471	,	17	2	1	430
472	the	17	3	1	431
473	boar	17	4	1	432
474	,	17	5	1	432
475	feared	17	6	1	433
476	by	17	7	1	434
477	the	17	8	1	435
478	locals	17	9	1	436
479	,	17	10	1	436
480	came	17	11	1	437
481	out	17	12	1	438
482	,	17	13	1	438
483	as	17	14	1	439
484	slow	17	15	1	440
485	as	17	16	1	441
486	a	17	17	1	442
487	snail	17	18	1	443
488	,	17	19	1	443
489	from	17	20	1	444
490	among	17	21	1	445
491	the	17	22	1	446
492	trees	17	23	1	447
493	,	17	24	1	447
494	just	17	25	1	448
495	as	17	26	1	449
496	the	17	27	1	450
497	huntsman	17	28	1	451
498	had	17	29	1	452
499	predicted	17	30	1	453
500	.	17	31	1	453
501	The	18	0	1	454
502	huntsman	18	1	1	455
503	leaped	18	2	1	456
504	from	18	3	1	457
505	his	18	4	1	458
506	hiding	18	5	1	459
507	place	18	6	1	460
508	and	18	7	1	461
509	through	18	8	1	462
510	the	18	9	1	463
511	heart	18	10	1	464
512	with	18	11	1	465
513	his	18	12	1	466
514	fine	18	13	1	467
515	arrows	18	14	1	468
516	shot	18	15	1	469
517	the	18	16	1	470
518	boar	18	17	1	471
519	.	18	18	1	471
520	Now	19	0	1	472
521	the	19	1	1	473
522	problem	19	2	1	474
523	was	19	3	1	475
524	no	19	4	1	476
525	longer	19	5	1	477
526	to	19	6	1	478
527	kill	19	7	1	479
528	the	19	8	1	480
529	boar	19	9	1	481
530	.	19	10	1	481
531	It	20	0	1	482
532	was	20	1	1	483
533	to	20	2	1	484
534	find	20	3	1	485
535	a	20	4	1	486
536	way	20	5	1	487
537	to	20	6	1	488
538	carry	20	7	1	489
539	the	20	8	1	490
540	boar	20	9	1	491
541	back	20	10	1	492
542	.	20	11	1	492
543	The	21	0	1	493
544	head	21	1	1	494
545	was	21	2	1	495
546	too	21	3	1	496
547	heavy	21	4	1	497
548	for	21	5	1	498
549	the	21	6	1	499
550	little	21	7	1	500
551	huntsman	21	8	1	501
552	to	21	9	1	502
553	carry	21	10	1	503
554	back	21	11	1	504
555	to	21	12	1	505
556	the	21	13	1	506
557	Manor	21	14	1	507
558	House	21	15	1	508
559	,	21	16	1	508
560	but	21	17	1	509
561	the	21	18	1	510
562	huntsman	21	19	1	511
563	,	21	20	1	511
564	who	21	21	1	512
565	was	21	22	1	513
566	as	21	23	1	514
567	quick-witted	21	24	1	515
568	and	21	25	1	516
569	cunning	21	26	1	517
570	as	21	27	1	518
571	ever	21	28	1	519
572	,	21	29	1	519
573	asked	21	30	1	520
574	himself	21	31	1	521
575	,	21	32	1	521
576	'	21	33	1	522
577	What	21	34	1	522
578	else	21	35	1	523
579	can	21	36	1	524
580	I	21	37	1	525
581	do	21	38	1	526
582	to	21	39	1	527
583	prove	21	40	1	528
584	I	21	41	1	529
585	killed	21	42	1	530
586	the	21	43	1	531
587	boar	21	44	1	532
588	?	21	45	1	532
589	'	21	46	1	532
590	The	22	0	1	533
591	next	22	1	1	534
592	instance	22	2	1	535
593	he	22	3	1	536
594	opened	22	4	1	537
595	the	22	5	1	538
596	boar	22	6	1	539
597	's	22	7	1	539
598	mouth	22	8	1	540
599	and	22	9	1	541
600	cut	22	10	1	542
601	out	22	11	1	543
602	its	22	12	1	544
603	tongue	22	13	1	545
604	,	22	14	1	545
605	taking	22	15	1	546
606	that	22	16	1	547
607	as	22	17	1	548
608	proof	22	18	1	549
609	for	22	19	1	550
610	the	22	20	1	551
611	Lord	22	21	1	552
612	.	22	22	1	552
613	He	23	0	1	553
614	set	23	1	1	554
615	out	23	2	1	555
616	for	23	3	1	556
617	the	23	4	1	557
618	Manor	23	5	1	558
619	House	23	6	1	559
620	as	23	7	1	560
621	quickly	23	8	1	561
622	as	23	9	1	562
623	he	23	10	1	563
624	could	23	11	1	564
625	and	23	12	1	565
626	he	23	13	1	566
627	had	23	14	1	567
628	only	23	15	1	568
629	been	23	16	1	569
630	gone	23	17	1	570
631	a	23	18	1	571
632	few	23	19	1	572
633	minutes	23	20	1	573
634	when	23	21	1	574
635	a	23	22	1	575
636	second	23	23	1	576
637	huntsman	23	24	1	577
