item	sent	token_id	word	depth	ind	brn
1	1	0	If	3	1.4558699131011963	5.989597976207733
1	1	1	you	5	1.4425878524780273	6.063130125403404
1	1	2	were	5	3.2263100147247314	7.880554236471653
1	1	3	to	7	0.10233873128890991	9.2985670119524
1	1	4	journey	8	14.244762420654297	23.49769387766719
1	1	5	to	9	2.2556285858154297	13.719543557614088
1	1	6	the	11	0.7556312084197998	14.00033650919795
1	1	7	North	11	8.03829574584961	21.28300104662776
1	1	8	of	11	0.6006311774253845	13.197689693421125
1	1	9	England	12	6.471386432647705	19.08532523550093
1	1	10	,	2	0.022758716717362404	0.5940338913351297
1	1	11	you	3	1.8423254489898682	2.6415383219718933
1	1	12	would	3	2.907573699951172	3.5792463198304176
1	1	13	come	4	4.829328536987305	5.9332180097699165
1	1	14	to	5	1.0171833038330078	3.139886625111103
1	1	15	a	7	2.2734155654907227	6.322785221040249
1	1	16	valley	7	8.758127212524414	12.80749686807394
1	1	17	that	8	0.23926372826099396	4.15798769146204
1	1	18	is	9	2.0557820796966553	5.803563144057989
1	1	19	surrounded	10	9.131220817565918	14.42670264467597
1	1	20	by	11	0.1807825118303299	5.744802575558424
1	1	21	<cunkER>	13	7.935262680053711	14.413897642865777
1	1	22	as	13	5.069448471069336	16.651250848546624
1	1	23	high	13	4.007626533508301	15.589428910985589
1	1	24	as	14	2.3496265411376953	16.698462733998895
1	1	25	mountains	15	8.723258018493652	23.21278336085379
1	1	26	.	2	0.09425778687000275	0.6655329614877701
1	2	0	It	3	2.7056021690368652	3.9996747374534607
1	2	1	is	3	2.015331983566284	2.713246211409569
1	2	2	in	4	1.30701744556427	4.950932011008263
1	2	3	this	6	4.4316253662109375	9.491149876266718
1	2	4	valley	6	8.885957717895508	13.945482227951288
1	2	5	where	7	0.10098770260810852	7.1537936963140965
1	2	6	you	8	3.4746179580688477	9.330900022760034
1	2	7	would	8	3.7533366680145264	9.633916037157178
1	2	8	find	9	4.408115863800049	10.586956398561597
1	2	9	the	11	1.8889474868774414	9.915744023397565
1	2	10	city	11	7.138195991516113	15.164992528036237
1	2	11	of	11	0.2744731605052948	7.837565468624234
1	2	12	Bradford	12	17.36036491394043	24.961215829476714
1	2	13	,	9	0.0452728308737278	6.224113365635276
1	2	14	where	11	2.9695022106170654	12.59586681611836
1	2	15	once	12	4.601077079772949	17.16877836175263
1	2	16	a	13	2.750408172607422	12.820017235353589
1	2	17	thousand	13	8.5562162399292	18.625825302675366
1	2	18	spinning	13	13.999259948730469	24.068869011476636
1	2	19	<cunkER>	13	8.414609909057617	18.484218971803784
1	2	20	that	14	0.4301864206790924	10.494640903547406
1	2	21	hummed	16	8.99264144897461	22.10836246982217
1	2	22	and	15	0.12979231774806976	10.229751724749804
1	2	23	clattered	16	8.882712364196777	19.02680165693164
1	2	24	spun	12	10.44476318359375	18.321101339533925
1	2	25	wool	13	11.243292808532715	20.30389896221459
1	2	26	into	13	1.5722742080688477	10.560274036601186
1	2	27	money	14	8.906013488769531	17.924182303249836
1	2	28	for	13	2.4982893466949463	12.596151264384389
1	2	29	the	14	1.5225650072097778	11.667111521586776
1	2	30	<unkal>	14	7.8537211418151855	17.998267656192183
1	2	31	mill	14	8.899381637573242	19.04392815195024
1	2	32	owners	14	10.1681547164917	20.312701230868697
1	2	33	.	2	0.18328921496868134	0.7545643895864487
1	3	0	That	4	5.787973403930664	13.093219220638275
1	3	1	all	6	5.763172149658203	13.156568279489875
1	3	2	mill	6	12.914793014526367	20.30818914435804
1	3	3	owners	6	6.233637809753418	13.62703393958509
1	3	4	were	6	2.114515781402588	9.520202124491334
1	3	5	generally	8	7.758746147155762	19.217088306322694
1	3	6	busy	8	7.000723361968994	18.459065521135926
1	3	7	as	9	3.5178956985473633	17.42201646603644
1	3	8	<cunkER>	10	8.166829109191895	22.258485982194543
1	3	9	and	7	0.7900325059890747	9.691479647532105
1	3	10	quite	9	6.982784271240234	18.29756304062903
1	3	11	pleased	9	8.792435646057129	20.107214415445924
1	3	12	with	10	0.47904372215270996	12.848185146227479
1	3	13	themselves	11	5.1321868896484375	17.552526170387864
1	3	14	for	9	2.9823427200317383	13.69614609517157
1	3	15	being	11	3.598283052444458	17.555797258391976
1	3	16	so	13	2.054896593093872	20.38023273088038
1	3	17	successful	13	4.935657024383545	23.260993162170053
1	3	18	and	12	1.182382345199585	16.642802635207772
1	3	19	well	13	6.699100494384766	22.419057497754693
1	3	20	off	13	6.981387138366699	22.701344141736627
1	3	21	was	4	2.146200180053711	6.0837458074092865
1	3	22	known	5	5.33198356628418	11.233078092336655
1	3	23	to	6	5.1220622062683105	11.358177542686462
1	3	24	the	8	0.9145846962928772	8.203676126897335
1	3	25	residents	8	9.725423812866211	17.01451524347067
1	3	26	of	8	0.3159383237361908	6.9976401552557945
1	3	27	Bradford	9	17.8835506439209	24.578450043685734
1	3	28	,	2	0.5661544799804688	1.137429654598236
1	3	29	and	2	0.46462658047676086	1.0359017550945282
1	3	30	if	4	0.9945630431175232	4.729259263724089
1	3	31	you	6	2.6316113471984863	6.471058443188667
1	3	32	were	6	2.119694232940674	5.971575576812029
1	3	33	to	8	0.10458145290613174	8.435940634459257
1	3	34	go	9	3.3240647315979004	11.68985341116786
1	3	35	into	10	1.9484596252441406	11.204158287495375
1	3	36	the	11	0.9361670017242432	10.225115768611431
1	3	37	city	11	5.625384330749512	14.9143330976367
1	3	38	to	11	0.4100242257118225	12.78200637921691
1	3	39	visit	12	4.821321487426758	17.215521525591612
1	3	40	the	13	1.1733393669128418	13.790901701897383
1	3	41	stately	13	11.30436897277832	23.92193130776286
1	3	42	City	13	9.849709510803223	22.467271845787764
1	3	43	Hall	13	7.4727067947387695	20.09026912972331
1	3	44	,	3	0.027196800336241722	0.6231615412980318
1	3	45	you	4	2.545933723449707	3.296088855713606
1	3	46	would	4	2.6385598182678223	3.3321315608918667
1	3	47	see	5	4.668372631072998	5.828729625791311
1	3	48	there	6	4.376686096191406	10.037598606199026
1	3	49	the	7	1.1615469455718994	5.2622529827058315
1	3	50	Crest	7	12.31049919128418	16.411205228418112
1	3	51	of	7	0.28942251205444336	4.016915377229452
1	3	52	the	9	0.7686646580696106	6.392324218526483
1	3	53	City	9	8.646865844726562	14.270525405183434
1	3	54	of	9	0.1759478747844696	4.5077471528202295
1	3	55	Bradford	10	16.46956443786621	20.810474144294858
1	3	56	,	5	0.058129727840423584	1.2184867225587368
1	3	57	which	7	0.806277334690094	6.074518498033285
1	3	58	those	8	7.151750564575195	10.939877901226282
1	3	59	same	8	7.89946985244751	11.687597189098597
1	3	60	mill	8	13.507274627685547	17.295401964336634
1	3	61	owners	8	5.79229736328125	9.580424699932337
1	3	62	created	8	9.225920677185059	11.818457651883364
1	3	63	to	10	0.03753404691815376	5.056454963982105
1	3	64	celebrate	11	7.443902969360352	12.487418660894036
1	3	65	their	12	3.113835334777832	9.733645329251885
1	3	66	achievements	12	7.651262283325195	14.271072277799249
1	3	67	.	2	0.010552678257226944	0.5818278528749943
1	4	0	It	4	2.933051824569702	6.883649855852127
1	4	1	shows	4	6.982329368591309	10.614256896078587
1	4	2	a	6	1.448793888092041	6.2965710535645485
1	4	3	sinister	7	13.054203987121582	20.910421170294285
1	4	4	looking	7	4.144888877868652	12.001106061041355
1	4	5	boar	7	11.358027458190918	26.352717198431492
1	4	6	's	7	0.957714319229126	15.9524040594697
1	4	7	head	6	6.554774284362793	11.4025514498353
1	4	8	sitting	6	6.216049671173096	14.172497548162937
1	4	9	on	7	1.9480037689208984	10.153511486947536
1	4	10	top	9	6.2436981201171875	15.776770316064358
1	4	11	of	9	0.018474997952580452	8.279677655547857
1	4	12	a	10	3.2547683715820312	11.529882691800594
1	4	13	well	10	9.727373123168945	18.00248744338751
1	4	14	which	6	0.6684708595275879	11.419565476477146
1	4	15	seems	7	5.298748016357422	13.34741853363812
1	4	16	puzzling	8	9.293388366699219	18.660504328086972
1	4	17	at	9	4.03402042388916	15.295611010864377
1	4	18	first	10	1.5883156061172485	18.473129021003842
1	4	19	,	2	0.5234087109565735	1.0946838855743408
1	4	20	but	2	1.0509064197540283	1.6221815943717957
1	4	21	the	5	1.0074797868728638	3.6367933936417103
